total_debt_value,avg_parcel_value,max_debt_value,total_fines_only,total_ressarcimento_only,has_daily_fine,total_paid_amount,percent_paid_amount,n_installments,n_broken_installments,n_reopened_installments,perc_broken_installments,perc_failed_installments,is_civil_servant,n_processos,n_transitado_em_julgado,n_protests,n_failed_protests,perc_failed_protests,n_pge_handovers
18339.6,,13752.39,406.40999999999997,17933.19,0,0.0,0.0,0,0,0,0.0,0.0,0,4,4,0,0,0.0,0
51873.8218,,10081.0,27192.821799999994,24681.0,0,6470.97,0.12474442359286511,0,0,0,0.0,0.0,0,5,31,0,0,0.0,0
17100.0,,12000.0,5100.0,12000.0,0,0.0,0.0,0,0,0,0.0,0.0,0,1,3,0,0,0.0,0
1473692.9836,16793.150833333333,24740.0,1464958.5036,8734.48,0,45422.98,0.030822552937070254,0,0,0,0.0,0.0,1,10,86,6,0,0.0,4
22709.262000000002,250.0,9007.0,6930.842000000001,15778.42,0,211.45,0.009311178848524447,0,0,0,0.0,0.0,0,7,13,1,0,0.0,0
496489.8319,,9599.98,494211.51190000004,2278.32,0,13339.61,0.02686784127874503,0,0,0,0.0,0.0,0,1,87,0,0,0.0,0
521318.60099999997,16976.7176,117800.0,246930.591,274388.01,0,0.0,0.0,0,0,0,0.0,0.0,0,15,27,0,0,0.0,0
669447.72,17796.955,136340.95,254855.52,414592.2,0,0.0,0.0,0,0,0,0.0,0.0,0,4,14,0,0,0.0,0
168746.06100000002,,71585.52,10969.701000000001,157776.36,0,0.0,0.0,0,0,0,0.0,0.0,0,5,10,0,0,0.0,0
267073.94999999995,,193143.58,58704.37,208369.58,0,0.0,0.0,0,0,0,0.0,0.0,0,2,4,0,0,0.0,1
31274.23,,24726.23,6548.0,24726.23,0,0.0,0.0,0,0,0,0.0,0.0,0,1,2,0,0,0.0,0
89181.5383,,11230.0,78046.7083,11134.83,0,6620.4800000000005,0.07423599240606506,0,0,0,0.0,0.0,0,9,19,0,0,0.0,0
1198696.53,9048.41,746645.18,203004.62999999998,995691.9000000001,0,0.0,0.0,0,0,0,0.0,0.0,0,10,22,0,0,0.0,3
696015.774,43775.0,239878.37,346974.444,349041.33,0,0.0,0.0,0,0,0,0.0,0.0,0,6,13,1,0,0.0,0
366040.81,7322.962916666666,61949.62,224651.11,141389.7,0,0.0,0.0,0,0,0,0.0,0.0,0,7,33,2,0,0.0,4
11674.869999999999,,5949.9,4284.97,7389.9,0,0.0,0.0,0,0,0,0.0,0.0,0,3,5,0,0,0.0,0
1982229.952,,531201.2,141802.012,1840427.94,0,0.0,0.0,0,0,0,0.0,0.0,0,10,18,0,0,0.0,0
12827.82,,12627.82,200.0,12627.82,0,0.0,0.0,0,0,0,0.0,0.0,0,1,2,0,0,0.0,0
34883.8736,3470.0,3470.0,33258.8736,1625.0,0,1810.55,0.05190220618159791,0,0,0,0.0,0.0,0,6,17,1,0,0.0,0
522726.78,300.0,356610.77,123587.55,399139.23,0,0.0,0.0,0,0,0,0.0,0.0,0,5,13,0,0,0.0,0
46702770.0,2669218.3571428573,9330648.0,37372122.0,9330648.0,0,173.98000000000002,3.7252608357063192e-06,0,0,0,0.0,0.0,0,10,20,0,0,0.0,1
50156.2168,,4849.35,45306.8668,4849.35,0,6862.78,0.13682810303188575,0,0,0,0.0,0.0,0,2,23,0,0,0.0,0
530482.2197,1338.8407654639175,4000.0,530482.2197,0.0,0,545452.6892,1.0282204924954246,8,146,59,18.25,25.625,0,10,207,2,0,0.0,1
3500.0,1166.6666666666667,1500.0,3500.0,0.0,0,3523.8199999999997,1.0068057142857143,0,0,0,0.0,0.0,0,2,3,0,0,0.0,0
5832.57,,2300.0,3866.5,1966.07,0,0.0,0.0,0,0,0,0.0,0.0,0,4,7,0,0,0.0,0
